Lambda,DC,w,N,w_c,H,alpha_param,beta,S,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
2.3404183501365918e-07,0.12289675545483042,5.03523644648161e-07,424,3.5023979045956114e-07,12,1.523908858464822,-1.1991391748836415,5,0.49541359010705444,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.2025867997563093e-07,0.10837644865503551,5.386936200958913e-07,2,4.028189157185288e-07,1,2.5704477953479468,-2.2130208221241525,3,0.49970644608491477,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.386483937509352e-07,0.7416795394528862,5.584071969982813e-07,157,2.1098121798358262e-07,9,1.889540296060391,-1.9383687038293476,5,0.4857798247870255,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.2025867997563093e-07,0.10837644865503551,5.386936200958913e-07,2,3.5023979045956114e-07,12,1.523908858464822,-1.1991391748836415,4,0.49878256062122733,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.0481206061107358e-07,0.6134901170806264,4.470872453482186e-07,446,2.4613249575017456e-07,14,1.4680658425687523,1.558766583538103,0,0.4815448871094043,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.333539284681646e-07,0.43792289400318635,5.166610662397657e-07,97,2.82182049845414e-07,1,0.8834916795429244,2.275948375669753,4,0.4803907183250168,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.951567843775974e-07,0.584446071523426,5.549325191218897e-07,475,2.954238323338768e-07,4,0.7974698649040183,-1.0155207579775638,0,0.42352404937484367,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.451057408188534e-07,0.2654351628334026,4.151803030494373e-07,347,3.321442424395499e-07,12,0.46782352695637097,-0.6610748671622977,4,0.491240791263937,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.7119644292444514e-07,0.5721767918024347,4.974679482153393e-07,436,1.6437009346078e-07,4,1.971646117961719,-1.5289295498876982,5,0.3159453254414559,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.4684944377763846e-07,0.4864958713541271,5.877065314617711e-07,439,4.013184086630544e-07,3,2.288101644822493,1.4572125947661205,4,0.49752755676748406,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.0255338959307202e-07,0.2816961909431672,4.890145565301671e-07,439,1.6437009346078e-07,4,1.971646117961719,-1.5289295498876982,5,0.47646277478387905,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.2025867997563093e-07,0.10837644865503551,4.890145565301671e-07,2,3.912116452241337e-07,12,0.48481506983021017,-2.575585382805831,3,0.49981483758136247,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.0481206061107358e-07,0.2816961909431672,4.890145565301671e-07,2,3.912116452241337e-07,12,0.48481506983021017,-2.575585382805831,3,0.4992712177360389,3,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
